pid,uid,helpN,helpD,score
66484848499051847681,6551525049768466838783808875,5,6,4.000000
66484848499051847681,6549665688525254698878906670,3,4,5.000000
66484848499051847681,6551838682884885549071658876,2,4,5.000000
66484849716950676877,6551777473886873818453834954,3,3,1.000000
66484849716950676877,6549717179675780866888875590,2,2,5.000000
66484852725790815456,6550708369905575878551777389,1,1,3.000000
66484852725790815456,6549816585769048518767656979,0,1,1.000000
66484848888579768681,6549496983495189545257485176,18,18,5.000000
66484848888579768681,65905774877169498571759065,10,10,4.000000
66484848888579768681,6549674856757670737283747790,4,4,5.000000
66484848888579768681,65897168756986686779728274,1,1,5.000000
66484848888579768681,6550728568686974677172495682,1,1,4.000000
66484848888579768681,65747956525384515279788448,0,0,5.000000
66484848888579768681,6551538351508954548779779084,0,0,4.000000
66484848888579768681,6549538776877767718779798690,0,0,5.000000
66484848888579768681,6550737652717649488583738271,0,0,5.000000
66484848888579768681,6550677383905274767581827465,0,0,5.000000
66484848888579768681,6551855166699077725170484981,0,0,4.000000
66484848888579768681,6550794969747853815672747470,0,0,5.000000
66484848888579768681,6550538071517476665384665376,0,0,5.000000
66484848888579768681,6550567653894980785656706787,0,0,5.000000
66484848888579768681,6551567776708782694953685287,0,0,5.000000
66484848888579768681,6550787855527465865089899086,0,0,5.000000
66484848888579768681,6549727477776952697775518480,3,7,3.000000
66484848888579768681,65825082777184816679555670,0,3,5.000000
66484848888579768681,6550777680528571847049828852,1,6,2.000000
49535748535054565256,65746981534889678685566778,7,7,5.000000
49535748535054565256,6550688981874955766980768051,4,4,5.000000
49535748535054565256,6551855449837449819049557167,3,3,5.000000
49535748535054565256,65877165656773815485757966,2,2,5.000000
49535748535054565256,65878051497185836983525171,1,1,5.000000
66484849678153806873,6550767276506755744874908186,1,6,1.000000
66484848778470707354,6550845756766954688556805787,0,0,4.000000
66484848778470707354,6549735571727150887889795174,4,7,2.000000
66484848778470707354,65907669857183715072508072,0,9,3.000000
66484848705256685677,6551825184879070507086757971,35,41,2.000000
66484848705256685677,6549687879517466886782737289,22,25,5.000000
66484848705256685677,6551777655838789888057888081,16,22,3.000000
66484848705256685677,6550664868808175504876898974,0,0,2.000000
66484848705256685677,65695457747366896890835357,0,0,5.000000
66484848705256685677,6551557472538248708481775183,0,0,5.000000
66484849716950676887,65774956678555508969877253,25,28,1.000000
66484849716950676887,65526951728850655580817767,4,4,4.000000
66484849716950676887,6550496890828949777077754972,9,12,4.000000
66484849716950676887,6550818054535590548666538086,0,0,5.000000
66484849716950676887,117110107110111119110,2,5,1.000000
66484849716950676887,65705775737454876685888680,5,23,2.000000
54514851514948484849,65518168857455867369517882,37,37,5.000000
54514851514948484849,117110107110111119110,14,15,5.000000
54514851514948484849,117110107110111119110,8,10,5.000000
54514851514948484849,6551818082777885788885826850,3,3,5.000000
54514851514948484849,117110107110111119110,19,26,2.000000
54514851514948484849,6549658680487380567751716678,0,0,5.000000
54514849555650495251,6550897781897587514986717150,10,11,1.000000
66484857664883848479,6549885282758854706857487454,2,2,5.000000
66484857664883848479,6549805682779065737273897579,1,1,5.000000
66484857664883848479,6550537856785276507586717081,1,1,5.000000
66484857664883848479,6551519083738480768380815753,1,1,5.000000
66484857664883848479,6550538786888952867567485466,0,0,5.000000
66484857664883848479,6550508475708486565083688078,0,0,5.000000
66484849794884777750,6549528265526881865380805087,0,0,4.000000
66484849794884777750,6551736873897848527351505483,0,0,5.000000
66484849794884777750,65678978886687507377526867,0,0,3.000000
66484849794884777750,6549505582858380897169877167,0,0,3.000000
66484849794884777750,6550895688907683896986717157,0,0,3.000000
66484849794884777750,6549678465717686555181897256,0,0,5.000000
66484849794884777750,6549817148519081839084725483,0,0,5.000000
66484849794884777750,6551578886885469658949768365,0,0,4.000000
66484849794884777750,65796676797767865083715084,0,0,5.000000
66484849794884777750,6549817653795573507671866650,0,0,5.000000
66484849794884777750,65545184757767656657865589,3,4,5.000000
66484849794884777750,655781828569798156508175,3,4,1.000000
66484849794884777750,117110107110111119110,3,4,5.000000
66484849794884777750,6550666770785673875354827387,12,18,3.000000
66484849794884777750,6549765773665072854868527476,4,6,1.000000
66484849794884777750,6550515550895674675078867470,4,6,2.000000
66484849794884777750,6549568552829088488382887379,0,0,5.000000
66484849794884777750,6550828368675380785651577067,0,0,5.000000
66484849794884777750,6550546577726686827589795553,0,0,5.000000
66484849794884777750,6550788548705352788186867369,0,0,4.000000
66484849794884777750,6550684874835768865676536585,0,0,3.000000
66484849794884777750,6551686653905151798686537181,0,0,5.000000
66484849794884777750,6551537651517152718650675666,0,0,5.000000
66484849794884777750,6549527974834886877779838779,1,2,5.000000
66484849794884777750,6549575187735173685183547977,2,4,2.000000
66484849794884777750,6551798484507584818067795154,0,1,2.000000
66484849794884777750,6550725186816555725474796585,0,1,1.000000
66484849794884777750,6551707683867387865481487285,0,1,2.000000
66484849794884777750,6550768382714987687282488589,1,3,5.000000
66484849794884777750,6549507584767978895449874957,2,5,5.000000
